x,y
2433,4373
2408.22216796875,4348.10302734375
2386.964111328125,4319.8486328125
2366.784423828125,4290.810546875
2347.315673828125,4261.29052734375
2328.461669921875,4231.37353515625
2310.23583984375,4201.07080078125
2292.779296875,4170.318359375
2276.491943359375,4138.93408203125
2261.894775390625,4106.727294921875
2248.336669921875,4074.068115234375
2235.564208984375,4041.09326171875
2223.426513671875,4007.879638671875
2211.83251953125,3974.471923828125
2200.730224609375,3940.897705078125
2190.0791015625,3907.177490234375
2179.8740234375,3873.319580078125
2170.108154296875,3839.332275390625
2160.79541015625,3805.21826171875
2151.984375,3770.971435546875
2143.72509765625,3736.58740234375
2136.1279296875,3702.051025390625
2129.3837890625,3667.338623046875
2123.843017578125,3632.41552734375
2120.3505859375,3597.2353515625
2120,3561.87939453125
2103.967041015625,3562.2998046875
2077.424072265625,3585.660888671875
2048.5504150390625,3606.04541015625
2018.0596923828125,3623.945068359375
1986.6383056640625,3640.1611328125
1954.53271484375,3654.97900390625
1921.840576171875,3668.45263671875
1888.5745849609375,3680.43701171875
1854.6678466796875,3690.453857421875
1819.9654541015625,3697.1005859375
1784.6488037109375,3698.4697265625
1749.37744140625,3696.13232421875
1714.4580078125,3690.619140625
1680.1087646484375,3682.25439453125
1646.52197265625,3671.21826171875
1613.9161376953125,3657.55517578125
1582.5848388671875,3641.183349609375
1552.9659423828125,3621.8935546875
1525.7821044921875,3599.31494140625
1502.1014404296875,3573.093994140625
1481.20751953125,3544.57666015625
1462.6558837890625,3514.481201171875
1446.3731689453125,3483.098876953125
1432.2843017578125,3450.67138671875
1420.3172607421875,3417.4013671875
1410.4091796875,3383.460693359375
1402.5032958984375,3348.998291015625
1396.5537109375,3314.144287109375
1392.5242919921875,3279.0166015625
1390.385986328125,3243.722900390625
1390.3428955078125,3208.370849609375
1394.6346435546875,3173.295654296875
1403.1436767578125,3138.99072265625
1415.138916015625,3105.7392578125
1430.0684814453125,3073.694091796875
1447.5264892578125,3042.951416015625
1467.2144775390625,3013.585205078125
1488.917236328125,2985.67431640625
1512.479248046875,2959.314453125
1537.78564453125,2934.6240234375
1564.74951171875,2911.7568359375
1593.30712890625,2890.91455078125
1623.39306640625,2872.3486328125
1654.88525390625,2856.28076171875
1686.7236328125,2840.891357421875
1718.5733642578125,2825.52490234375
1750.422607421875,2810.157958984375
1782.27197265625,2794.791015625
1814.12109375,2779.424072265625
1846.1265869140625,2764.385009765625
1878.136474609375,2749.355224609375
1910.1297607421875,2734.290771484375
1942.1165771484375,2719.2119140625
1974.0880126953125,2704.101318359375
2006.0489501953125,2688.9677734375
2037.996826171875,2673.806640625
2069.925537109375,2658.605712890625
2101.83642578125,2643.366943359375
2133.72607421875,2628.0830078125
2165.589111328125,2612.745361328125
2197.425048828125,2597.350830078125
2229.227294921875,2581.88671875
2260.984375,2566.330322265625
2292.6865234375,2550.661865234375
2324.314697265625,2534.844970703125
2355.82470703125,2518.79443359375
2387.1259765625,2502.341064453125
2417.79248046875,2484.7490234375
2408.220947265625,2461.4453125
2376.084716796875,2446.733154296875
2343.6328125,2432.68310546875
2311.25634765625,2418.461181640625
2278.98388671875,2404.00439453125
2246.68408203125,2389.610107421875
2214.179931640625,2375.68212890625
2181.531982421875,2362.0947265625
2148.719970703125,2348.908935546875
2115.56640625,2336.615478515625
2082.37353515625,2324.419677734375
2049.286376953125,2311.940185546875
2016.2518310546875,2299.321044921875
1983.1265869140625,2286.943603515625
1949.943359375,2274.721435546875
1916.7548828125,2262.512939453125
1883.5643310546875,2250.310302734375
1850.209716796875,2238.568359375
1817.2708740234375,2225.71142578125
1785.095703125,2211.0517578125
1752.8173828125,2196.607666015625
1720.53271484375,2182.177490234375
1688.2640380859375,2167.71240234375
1656.1719970703125,2152.86083984375
1624.3402099609375,2137.458740234375
1592.8533935546875,2121.363525390625
1561.888427734375,2104.289306640625
1531.9534912109375,2085.483154296875
1510.8193359375,2059.8974609375
1544.5721435546875,2064.08056640625
1577.4339599609375,2077.11865234375
1610.038330078125,2090.810791015625
1642.611083984375,2104.57861328125
1675.1490478515625,2118.4267578125
1707.6435546875,2132.376953125
1740.0809326171875,2146.461181640625
1772.4307861328125,2160.744140625
1804.5975341796875,2175.43310546875
1836.8009033203125,2190.03955078125
1869.2850341796875,2204.013671875
1901.9700927734375,2217.51171875
1934.81591796875,2230.613525390625
1967.7923583984375,2243.384033203125
2000.8763427734375,2255.87255859375
2034.0523681640625,2268.11376953125
2067.3065185546875,2280.141845703125
2100.630615234375,2291.97412109375
2133.9892578125,2303.710693359375
2167.30908203125,2315.555908203125
2200.585205078125,2327.521728515625
2233.815673828125,2339.61572265625
2266.9970703125,2351.843994140625
2300.115966796875,2364.239990234375
2333.169189453125,2376.81005859375
2366.136474609375,2389.6015625
2398.997314453125,2402.6669921875
2431.70751953125,2416.1025390625
2464.17919921875,2430.10498046875
2496.13916015625,2445.230712890625
2511.749267578125,2465.455078125
2480.935546875,2482.800537109375
2449.766357421875,2499.503173828125
2418.47802734375,2515.982421875
2387.1298828125,2532.347412109375
2355.73095703125,2548.614013671875
2324.2978515625,2564.81591796875
2292.8369140625,2580.962890625
2261.351318359375,2597.061279296875
2229.8427734375,2613.115966796875
2198.31396484375,2629.12890625
2166.763427734375,2645.100830078125
2135.193115234375,2661.032958984375
2103.602783203125,2676.92529296875
2071.9912109375,2692.776611328125
2040.3580322265625,2708.583251953125
2008.7008056640625,2724.34130859375
1977.015869140625,2740.044921875
1945.2998046875,2755.685546875
1913.5416259765625,2771.239013671875
1881.733154296875,2786.691162109375
