x,y
1992,3420
1985.6121826171875,3412.302978515625
1979.478271484375,3404.40185546875
1973.5673828125,3396.33251953125
1967.854248046875,3388.121826171875
1962.3245849609375,3379.786376953125
1956.957275390625,3371.345458984375
1951.7413330078125,3362.810302734375
1946.6669921875,3354.18994140625
1941.7225341796875,3345.494384765625
1936.9005126953125,3336.730712890625
1932.19384765625,3327.904052734375
1927.596923828125,3319.02001953125
1923.104248046875,3310.082763671875
1918.7115478515625,3301.095947265625
1914.4149169921875,3292.062744140625
1910.212646484375,3282.9853515625
1906.100341796875,3273.86669921875
1902.0755615234375,3264.709228515625
1898.135498046875,3255.514892578125
1894.2806396484375,3246.28466796875
1890.5086669921875,3237.02001953125
1886.8173828125,3227.72314453125
1883.20703125,3218.394287109375
1879.6781005859375,3209.03466796875
1876.227294921875,3199.6455078125
1872.85693359375,3190.2275390625
1869.5672607421875,3180.781005859375
1866.356201171875,3171.307373046875
1863.2271728515625,3161.806396484375
1860.1795654296875,3152.279052734375
1857.213134765625,3142.72607421875
1854.3331298828125,3133.146728515625
1851.537353515625,3123.542236328125
1848.8277587890625,3113.913330078125
1846.2103271484375,3104.2587890625
1843.6832275390625,3094.580322265625
1841.25,3084.8779296875
1838.9168701171875,3075.15087890625
1836.684814453125,3065.400146484375
1834.5577392578125,3055.6259765625
1832.5401611328125,3045.82861328125
1830.63916015625,3036.0078125
1828.8603515625,3026.164306640625
1827.2091064453125,3016.298583984375
1825.72265625,3006.40673828125
1824.2518310546875,2996.512451171875
1822.7811279296875,2986.6181640625
1821.310302734375,2976.723876953125
1819.8394775390625,2966.82958984375
1818.3687744140625,2956.935302734375
1816.89794921875,2947.041015625
1813.137451171875,2943.642333984375
1805.7872314453125,2950.42724609375
1798.43701171875,2957.2119140625
1791.086669921875,2963.996826171875
1783.541259765625,2970.55908203125
1775.5010986328125,2976.5068359375
1767.1273193359375,2981.9765625
1758.51513671875,2987.0634765625
1749.7208251953125,2991.8291015625
1740.7791748046875,2996.312255859375
1731.714111328125,3000.54052734375
1722.5411376953125,3004.529541015625
1713.2716064453125,3008.288330078125
1703.9151611328125,3011.825439453125
1694.4747314453125,3015.132080078125
1684.9544677734375,3018.201171875
1675.356689453125,3021.01806640625
1665.68212890625,3023.558837890625
1655.9306640625,3025.7861328125
1646.1025390625,3027.644775390625
1636.2000732421875,3029.051025390625
1626.23291015625,3029.872802734375
1616.232177734375,3029.957275390625
1606.23681640625,3029.583251953125
1596.2637939453125,3028.819091796875
1586.3299560546875,3027.651123046875
1576.453125,3026.072021484375
1566.653076171875,3024.0712890625
1556.9498291015625,3021.644287109375
1547.3642578125,3018.7880859375
1537.9183349609375,3015.4990234375
1528.6341552734375,3011.77783203125
1519.533935546875,3007.627685546875
1510.6392822265625,3003.05322265625
1501.97119140625,2998.062744140625
1493.5496826171875,2992.66650390625
1485.3935546875,2986.877197265625
1477.519775390625,2980.708984375
1469.9439697265625,2974.1787109375
1462.6793212890625,2967.303466796875
1455.7371826171875,2960.10302734375
1449.126953125,2952.596435546875
1442.85595703125,2944.80419921875
1436.9290771484375,2936.747314453125
1431.349609375,2928.44580078125
1426.11865234375,2919.92041015625
1421.2376708984375,2911.18994140625
1416.7042236328125,2902.27392578125
1412.5147705078125,2893.191162109375
1408.66796875,2883.9580078125
1405.156494140625,2874.59228515625
1401.9761962890625,2865.108642578125
1399.1217041015625,2855.522216796875
1396.58544921875,2845.8466796875
1394.3607177734375,2836.0947265625
1392.4404296875,2826.278076171875
1390.8172607421875,2816.408203125
1389.4840087890625,2806.49462890625
1388.4324951171875,2796.547607421875
1387.656005859375,2786.574951171875
1387.147216796875,2776.58544921875
1386.92041015625,2766.58544921875
1386.85498046875,2756.58251953125
1386.9215087890625,2746.579833984375
1387.1585693359375,2736.579833984375
1387.6156005859375,2726.587646484375
1388.3575439453125,2716.612548828125
1389.4656982421875,2706.671875
1391.0367431640625,2696.79443359375
1393.171875,2687.023681640625
1395.9556884765625,2677.41796875
1399.423828125,2668.0380859375
1403.542724609375,2658.9248046875
1408.02099609375,2649.98046875
1412.7537841796875,2641.16845703125
1417.8074951171875,2632.53662109375
1423.234130859375,2624.135009765625
1429.0626220703125,2616.0068359375
1435.3043212890625,2608.19140625
1441.9425048828125,2600.7099609375
1448.9443359375,2593.567626953125
1456.26708984375,2586.75439453125
1463.861328125,2580.244873046875
1471.6868896484375,2574.014892578125
1479.701904296875,2568.03076171875
1487.8741455078125,2562.262939453125
1496.1763916015625,2556.683349609375
1504.58740234375,2551.26953125
1513.087646484375,2545.99658203125
1521.662841796875,2540.846435546875
1530.3016357421875,2535.803466796875
1538.9942626953125,2530.85400390625
1547.7325439453125,2525.985595703125
1556.509521484375,2521.187255859375
1565.3209228515625,2516.4521484375
1574.160888671875,2511.77099609375
1583.02783203125,2507.140869140625
1591.916015625,2502.552001953125
1600.823486328125,2498.000244140625
1609.747802734375,2493.48193359375
1618.6873779296875,2488.99365234375
1627.6402587890625,2484.53173828125
